date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,70.18,71.44,69.59,71.44,1410700,0.0,0.0
2020-01-03,70.54,70.99,70.06,70.42,1317600,0.0,0.0
2020-01-06,69.98,70.97,69.65,70.85,1544700,0.0,0.0
2020-01-07,70.46,71.28,69.94,71.07,1664600,0.0,0.0
2020-01-08,71.28,72.76,70.96,72.28,1763100,0.0,0.0
2020-01-09,72.82,73.69,72.56,73.36,1514400,0.0,0.0
2020-01-10,73.4,73.58,72.67,73.03,950000,0.0,0.0
2020-01-13,73.53,73.95,72.95,73.39,1156400,0.0,0.0
2020-01-14,73.4,73.47,72.41,72.61,1023800,0.0,0.0
2020-01-15,72.65,73.1,71.66,71.94,1333600,0.0,0.0
2020-01-16,72.33,73.07,72.03,73.06,1242100,0.0,0.0
2020-01-17,73.38,73.83,72.65,73.73,1893500,0.0,0.0
2020-01-21,73.41,74.87,73.23,74.6,1630800,0.0,0.0
2020-01-22,75.0,75.36,74.51,74.8,1156600,0.0,0.0
2020-01-23,74.92,75.55,74.2,75.42,994300,0.0,0.0
2020-01-24,75.94,76.31,74.07,74.58,957100,0.0,0.0
2020-01-27,72.49,73.28,71.76,72.62,1259900,0.0,0.0
2020-01-28,73.09,74.51,72.88,74.18,1298100,0.0,0.0
2020-01-29,74.5,74.65,73.05,73.14,1241500,0.0,0.0
2020-01-30,72.46,73.21,72.1,73.16,1033200,0.0,0.0
2020-01-31,72.86,73.05,71.36,72.11,2452600,0.0,0.0
2020-02-03,72.49,73.24,72.46,72.83,1405900,0.0,0.0
2020-02-04,73.96,74.78,73.68,74.42,1371900,0.0,0.0
2020-02-05,75.39,75.39,73.85,74.32,1666800,0.0,0.0
2020-02-06,74.91,75.36,74.38,74.54,911600,0.0,0.0
2020-02-07,74.02,74.4,73.51,73.55,1157700,0.0,0.0
2020-02-10,73.35,74.66,72.98,74.63,1302900,0.0,0.0
2020-02-11,75.04,75.88,74.68,75.71,1419600,0.0,0.0
2020-02-12,76.0,77.22,75.83,77.1,1932800,0.0,0.0
2020-02-13,77.0,79.59,75.27,79.25,3253100,0.0,0.0
2020-02-14,79.56,79.69,78.36,78.76,1329700,0.0,0.0
2020-02-18,78.18,79.0,78.05,78.58,1540000,0.0,0.0
2020-02-19,79.0,80.4,78.88,80.02,2212000,0.0,0.0
2020-02-20,79.46,79.46,76.05,76.97,2394200,0.0,0.0
2020-02-21,75.96,76.58,74.18,74.73,1550300,0.0,0.0
2020-02-24,71.95,73.27,70.87,71.39,2361900,0.0,0.0
2020-02-25,71.9,72.27,68.18,68.45,2648000,0.0,0.0
2020-02-26,69.1,70.06,68.18,68.88,2477300,0.0,0.0
2020-02-27,66.75,68.56,65.66,65.84,2678900,0.0,0.0
2020-02-28,63.51,66.31,63.24,66.14,4698200,0.0,0.0
2020-03-02,66.66,68.38,65.01,68.36,2711100,0.0,0.0
2020-03-03,67.87,68.81,65.47,66.23,3162500,0.0,0.0
2020-03-04,67.64,70.39,67.23,70.27,2364400,0.0,0.0
2020-03-05,67.79,69.62,66.83,67.84,2163700,0.0,0.0
