date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,232.9,233.47,231.77,233.42,1449300,0.0,0.0
2020-01-03,231.24,234.5,230.23,232.64,1315400,0.0,0.0
2020-01-06,231.49,235.53,230.8,235.43,1460700,0.0,0.0
2020-01-07,235.5,236.85,233.34,233.7,1367900,0.0,0.0
2020-01-08,234.88,238.01,234.01,237.27,1883900,0.0,0.0
2020-01-09,239.22,239.47,235.29,235.9,1141300,0.0,0.0
2020-01-10,236.21,236.28,233.26,234.84,1178100,0.0,0.0
2020-01-13,238.57,245.35,238.11,245.18,4118600,0.0,0.0
2020-01-14,246.28,247.51,243.45,243.77,1644000,0.0,0.0
2020-01-15,245.15,246.04,243.39,243.49,996800,0.0,0.0
2020-01-16,245.0,245.52,241.79,243.71,1409700,0.0,0.0
2020-01-17,245.51,245.73,241.15,241.25,1335400,0.0,0.0
2020-01-21,241.43,243.48,240.0,242.52,1604700,0.0,0.0
2020-01-22,243.3,246.02,243.06,244.3,1205800,0.0,0.0
2020-01-23,242.62,244.28,241.5,243.06,868700,0.0,0.0
2020-01-24,243.74,245.06,239.27,240.35,938200,0.0,0.0
2020-01-27,233.8,237.87,231.84,236.74,1292000,0.0,0.0
2020-01-28,238.66,240.19,236.33,239.35,971400,0.0,0.0
2020-01-29,240.32,244.33,238.77,243.66,998200,0.0,0.0
2020-01-30,241.84,244.0,240.9,243.77,770900,0.0,0.0
2020-01-31,243.48,243.58,239.3,239.39,1391600,0.0,0.0
2020-02-03,240.18,247.7,240.18,246.37,1792000,0.0,0.0
2020-02-04,249.85,250.1,247.66,247.99,1354900,0.0,0.0
2020-02-05,249.15,249.71,243.56,243.9,1518600,0.0,0.0
2020-02-06,244.35,244.53,242.79,243.78,1155900,0.0,0.0
2020-02-07,243.77,246.89,242.17,243.51,1087600,0.0,0.0
2020-02-10,244.02,249.74,244.02,248.54,1192100,0.0,0.0
2020-02-11,249.34,252.39,248.34,251.58,1014700,0.0,0.0
2020-02-12,252.11,254.16,250.78,253.94,658100,0.0,0.0
2020-02-13,253.41,256.8,252.37,253.86,905300,0.0,0.0
2020-02-14,254.68,256.0,253.15,254.41,950700,0.0,0.0
2020-02-18,254.01,259.74,253.66,259.23,1273700,0.0,0.0
2020-02-19,261.0,263.5,259.81,262.51,908000,0.0,0.0
2020-02-20,262.93,266.2,258.75,263.68,1518400,0.0,0.0
2020-02-21,263.0,265.1,253.8,255.9,1587700,0.0,0.0
2020-02-24,245.39,247.87,235.69,246.21,1875000,0.0,0.0
2020-02-25,248.38,250.45,237.05,238.81,1550900,0.0,0.0
2020-02-26,239.15,244.13,237.04,238.56,1219000,0.0,0.0
2020-02-27,230.44,232.48,220.21,220.7,2834900,0.0,0.0
2020-02-28,210.0,217.7,208.9,217.41,3747900,0.0,0.0
2020-03-02,219.19,229.21,216.49,228.9,2333900,0.0,0.0
2020-03-03,228.87,235.42,225.96,227.13,3570700,0.0,0.0
2020-03-04,231.51,232.88,221.24,231.62,1723700,0.0,0.0
2020-03-05,225.4,227.38,216.15,221.19,2005000,0.0,0.0
2020-03-06,213.26,223.35,212.24,218.55,2494400,0.0,0.0
2020-03-09,202.0,208.33,194.24,199.77,2292500,0.0,0.0
2020-03-10,206.37,206.99,197.11,204.12,2274000,0.0,0.0
2020-03-11,199.39,201.49,191.39,193.74,2114700,0.0,0.0
2020-03-12,179.45,180.33,167.33,169.13,3906800,0.0,0.0
2020-03-13,175.9,176.79,162.32,176.75,2933300,0.0,0.0
2020-03-16,155.49,155.89,138.29,138.98,4568200,0.0,0.0
2020-03-17,141.7,156.8,136.09,144.88,3764700,0.0,0.0
2020-03-18,135.12,140.64,128.85,140.36,3809600,0.0,0.0
2020-03-19,136.33,162.78,136.33,154.86,2989600,0.0,0.0
2020-03-20,163.51,182.53,162.6,165.01,5338000,0.0,0.0
2020-03-23,165.55,180.36,165.05,172.3,4267500,0.0,0.0
2020-03-24,183.25,194.9,180.1,192.74,2912900,0.0,0.0
2020-03-25,195.5,202.86,192.43,193.62,3336400,0.0,0.0
2020-03-26,197.05,202.84,189.05,200.8,4117800,0.0,0.0
2020-03-27,192.5,195.55,184.06,188.84,3572100,0.0,0.0
2020-03-30,188.5,196.96,183.03,193.94,2197800,0.0,0.0
2020-03-31,193.03,194.2,188.19,189.55,2027200,0.0,0.0
2020-04-01,181.53,187.28,181.53,183.5,1767800,0.0,0.0
2020-04-02,182.0,185.5,177.77,185.49,2311300,0.0,0.0
2020-04-03,184.71,184.77,179.1,181.25,2208300,0.0,0.0
2020-04-06,188.22,195.7,185.75,194.95,2479100,0.0,0.0
2020-04-07,202.48,203.44,194.7,194.92,2228500,0.0,0.0
2020-04-08,196.8,200.5,194.33,196.01,1243300,0.0,0.0
2020-04-09,199.64,206.0,198.48,203.51,1898300,0.0,0.0
2020-04-13,202.76,203.44,197.66,199.27,1008500,0.0,0.0
2020-04-14,203.72,206.77,201.58,205.18,1842400,0.0,0.0
2020-04-15,200.2,208.5,199.6,207.95,1888900,0.0,0.0
2020-04-16,210.0,214.43,207.68,209.19,2187000,0.0,0.0
2020-04-17,215.25,226.42,213.52,225.86,3555200,0.0,0.0
2020-04-20,222.79,224.51,216.79,218.59,2086100,0.0,0.0
2020-04-21,215.0,216.55,206.5,206.72,2145200,0.0,0.0
2020-04-22,210.91,214.22,210.01,212.09,1349800,0.0,0.0
2020-04-23,212.39,216.72,210.42,211.64,1102600,0.0,0.0
2020-04-24,213.76,216.5,212.1,214.55,1520800,0.0,0.0
2020-04-27,217.6,227.87,216.38,226.89,2227100,0.0,0.0
2020-04-28,231.3,231.95,224.19,224.47,1340000,0.0,0.0
2020-04-29,229.84,237.49,227.51,232.43,1393300,0.0,0.0
2020-04-30,229.72,231.55,223.48,223.48,1591200,0.0,0.0
2020-05-01,219.11,220.46,216.2,218.69,1744600,0.0,0.0
2020-05-04,215.08,218.84,213.97,218.69,1059700,0.0,0.0
2020-05-05,221.72,222.0,216.18,218.21,1298900,0.0,0.0
2020-05-06,218.99,225.0,218.97,223.18,1229600,0.0,0.0
2020-05-07,224.53,228.59,220.57,225.99,1700200,0.0,0.0
2020-05-08,229.0,238.32,228.5,237.99,2036900,0.0,0.0
2020-05-11,237.57,246.84,234.53,245.62,1952100,0.0,0.0
2020-05-12,247.07,248.75,242.34,242.6,1924600,0.0,0.0
2020-05-13,242.25,243.1,225.89,229.39,2240100,0.0,0.0
2020-05-14,226.56,237.74,225.81,237.57,1453700,0.0,0.0
2020-05-15,234.89,247.54,234.01,247.09,1750800,0.0,0.0
2020-05-18,253.73,259.61,252.03,255.65,2318200,0.0,0.0
2020-05-19,256.89,257.38,251.03,251.41,1480500,0.0,0.0
2020-05-20,256.1,259.6,255.18,258.38,1095900,0.0,0.0
2020-05-21,259.37,268.27,257.57,267.53,1808400,0.0,0.0
2020-05-22,268.7,277.02,267.02,276.73,2073900,0.0,0.0
2020-05-26,282.55,284.92,279.31,281.41,2118500,0.0,0.0
2020-05-27,281.38,282.9,271.6,281.5,2158700,0.0,0.0
2020-05-28,281.47,291.31,277.52,284.42,2307900,0.0,0.0
2020-05-29,285.91,301.49,284.15,300.1,4871000,0.0,0.0
2020-06-01,299.77,310.22,297.25,308.69,2390200,0.0,0.0
2020-06-02,305.51,314.87,302.01,312.3,2872000,0.0,0.0
2020-06-03,313.06,324.7,312.5,323.74,2760300,0.0,0.0
2020-06-04,321.5,323.52,313.5,317.42,2752000,0.0,0.0
2020-06-05,319.16,323.8,317.0,319.78,2385300,0.0,0.0
2020-06-08,322.06,322.63,312.73,315.3,2588500,0.0,0.0
2020-06-09,313.2,318.9,307.8,316.4,2375200,0.0,0.0
2020-06-10,318.6,324.76,316.54,323.25,1746800,0.0,0.0
2020-06-11,314.37,321.1,306.63,308.12,3659600,0.0,0.0
2020-06-12,302.84,308.38,289.55,296.36,7634500,0.0,0.0
2020-06-15,289.17,303.25,288.61,303.05,2256900,0.0,0.0
2020-06-16,310.79,312.8,303.27,310.61,2106000,0.0,0.0
2020-06-17,313.0,313.83,302.57,303.69,1720300,0.0,0.0
2020-06-18,303.99,305.66,299.0,302.98,1573700,0.0,0.0
2020-06-19,306.98,307.01,295.29,297.38,2299800,0.0,0.0
2020-06-22,298.01,306.57,293.85,304.69,1580300,0.0,0.0
2020-06-23,308.01,310.21,300.73,301.16,1392100,0.0,0.0
2020-06-24,299.48,303.15,290.52,295.22,1595000,0.0,0.0
2020-06-25,294.3,295.26,288.5,295.13,1268000,0.0,0.0
2020-06-26,293.8,295.1,288.11,289.53,1700800,0.0,0.0
2020-06-29,290.11,295.67,284.29,294.35,1860900,0.0,0.0
2020-06-30,305.0,318.32,304.2,312.01,5473600,0.0,0.0
2020-07-01,314.5,316.99,306.36,308.62,1767500,0.0,0.0
2020-07-02,312.15,312.59,302.5,304.77,1885100,0.0,0.0
2020-07-06,309.0,316.12,308.6,314.35,2557900,0.0,0.0
2020-07-07,313.12,313.13,306.31,306.74,1337000,0.0,0.0
2020-07-08,310.88,311.25,306.58,309.88,1269300,0.0,0.0
2020-07-09,309.8,319.11,303.68,315.08,3287300,0.0,0.0
2020-07-10,316.64,317.97,308.12,314.39,1755600,0.0,0.0
2020-07-13,316.75,321.82,304.54,305.15,2212300,0.0,0.0
2020-07-14,303.53,309.45,295.01,308.32,2051200,0.0,0.0
2020-07-15,308.59,314.0,304.14,312.51,1653600,0.0,0.0
2020-07-16,308.5,315.21,306.78,313.08,1185300,0.0,0.0
2020-07-17,315.02,319.04,310.86,316.82,1674000,0.0,0.0
2020-07-20,319.14,329.85,317.0,326.84,1996500,0.0,0.0
2020-07-21,330.36,330.9,324.07,325.39,1471100,0.0,0.0
2020-07-22,325.89,329.48,322.53,326.72,901500,0.0,0.0
2020-07-23,327.16,337.57,316.0,320.01,2592500,0.0,0.0
2020-07-24,316.26,325.71,313.62,321.5,1441900,0.0,0.0
2020-07-27,324.28,333.18,323.04,331.55,2029300,0.0,0.0
2020-07-28,331.22,333.88,321.91,322.64,1534100,0.0,0.0
2020-07-29,322.2,329.5,321.5,325.74,1318800,0.0,0.0
2020-07-30,322.3,325.38,316.99,323.66,1225400,0.0,0.0
2020-07-31,326.17,326.28,319.6,325.59,1282500,0.0,0.0
2020-08-03,327.99,331.17,324.01,328.59,1362500,0.0,0.0
2020-08-04,327.93,330.39,324.32,328.21,1046700,0.0,0.0
2020-08-05,330.94,343.59,328.27,340.42,2187200,0.0,0.0
2020-08-06,342.32,343.09,334.12,339.18,1153200,0.0,0.0
2020-08-07,339.08,343.74,336.51,342.12,1580200,0.0,0.0
2020-08-10,342.47,347.35,337.39,344.32,1611900,0.0,0.0
